"Variables","Non-Immigrant Averages","Immigrant Averages","Total Non-Immigrant Responses","Total Immigrant Responses","P-Value of Mann-Whitney Test","Confidence Interval - Lowerbound","Confidence Interval - Upperbound","Immigrant Medians","Non-Immigrant Medians"
"qfimchr",2.30546825895663,2.53398058252427,1591,206,0.7672170886413,-6.02925679289048e-05,4.30065810105492e-05,1,1
"qfimwht",1.32503113325031,1.45410628019324,1606,207,0.988671174801351,-4.6886640380091e-05,6.741573792965e-06,0,0
"qfimlng",4.4684572142411,4.57692307692308,1601,208,0.749713761673725,-4.15287116027806e-05,1.68121925183015e-05,4,4
"eimpcnt",1.85696122059758,1.85051546391753,1573,194,0.79174432165652,-1.62226414163302e-05,2.90702627513836e-05,2,2
"qfimcmt",7.74207582349285,8.01449275362319,1609,207,0.0528215476298248,-2.88581537537218e-05,2.44846831677214e-06,8,8
"imtcjob",6.04266321913381,6.57286432160804,1547,199,0.000326170140883293,-0.999938768464975,-3.58239531643788e-05,6,7
"imbleco",4.6588996763754,5.04761904761905,1545,189,0.00771711122078466,-0.999965048929634,-3.69744451865152e-05,5,5
"imwbcrm",3.37209302325581,4.04210526315789,1548,190,5.24407701562908e-05,-1.00000619559002,-3.30274284298933e-05,3,4
"pplstrd",2.88147223955084,3.15609756097561,1603,205,0.000479849541614723,-4.31133008783173e-05,-1.20309283723337e-05,3,3
"lwdscwp",7.41157760814249,7.59113300492611,1572,203,0.083223962986478,-7.81797766411579e-05,3.8669690245025e-05,8,9
"noimbro",19.6859229747676,23.2923076923077,1506,195,0.0207072778370062,-4.99990773130402,-2.24552065004781e-05,15,20
"imueclt",7.03428571428571,7.36683417085427,1575,199,0.0205409951817534,-0.999957001175198,-3.31455340772515e-05,7,8
